Data,Categoria,Descrição,Valor (R$),Mes
2024-01-05,Alimentação,Supermercado,180.5,1
2024-01-08,Transporte,Uber para o trabalho,32.0,1
2024-01-10,Lazer,Cinema com amigos,45.0,1
2024-01-12,Saúde,Consulta médica,150.0,1
2024-01-15,Educação,Curso online,90.0,1
2024-01-20,Contas Fixas,Conta de luz,120.0,1
2024-02-02,Alimentação,Restaurante,75.0,2
2024-02-05,Transporte,Abastecimento,200.0,2
2024-02-09,Lazer,Assinatura Netflix,39.9,2
2024-02-14,Saúde,Farmácia,65.0,2
2024-02-18,Educação,Material didático,45.0,2
2024-02-22,Contas Fixas,Internet,99.9,2
2024-02-28,Alimentação,Restaurante,263.44,2
2024-04-12,Saúde,Uber para o trabalho,276.92,4
2024-06-11,Lazer,Conta de luz,266.37,6
2024-08-02,Contas Fixas,Consulta médica,193.15,8
2024-12-15,Educação,Consulta médica,32.66,12
2024-08-19,Lazer,Internet,216.35,8
2024-07-21,Educação,Restaurante,265.94,7
2024-02-14,Alimentação,Cinema com amigos,209.5,2
2024-04-19,Alimentação,Internet,104.68,4
2024-04-05,Lazer,Uber para o trabalho,272.76,4
2024-05-21,Transporte,Abastecimento,285.31,5
2024-07-28,Educação,Abastecimento,262.44,7
2024-04-21,Transporte,Internet,133.84,4
2024-01-18,Lazer,Consulta médica,56.58,1
2024-05-03,Alimentação,Abastecimento,211.71,5
2024-01-24,Saúde,Farmácia,216.47,1
2024-05-28,Saúde,Consulta médica,59.8,5
2024-03-07,Saúde,Farmácia,220.42,3
2024-09-19,Contas Fixas,Supermercado,231.68,9
2024-09-18,Educação,Conta de luz,209.17,9
2024-06-16,Contas Fixas,Farmácia,197.42,6
2024-12-06,Lazer,Internet,166.37,12
2024-04-24,Contas Fixas,Assinatura Netflix,42.42,4
2024-12-18,Saúde,Assinatura Netflix,221.95,12
2024-01-21,Lazer,Abastecimento,27.57,1
2024-11-25,Lazer,Restaurante,234.04,11
2024-04-19,Contas Fixas,Supermercado,53.48,4
2024-05-09,Saúde,Curso online,103.14,5
2024-04-04,Saúde,Internet,210.82,4
2024-05-08,Contas Fixas,Abastecimento,68.14,5
2024-09-19,Contas Fixas,Supermercado,68.11,9
2024-11-15,Lazer,Farmácia,141.55,11
2024-04-24,Contas Fixas,Cinema com amigos,141.42,4
2024-06-12,Alimentação,Restaurante,188.45,6
2024-04-27,Transporte,Consulta médica,51.1,4
2024-12-20,Educação,Farmácia,283.19,12
2024-11-10,Alimentação,Curso online,151.36,11
2024-12-19,Lazer,Conta de luz,239.35,12
2024-05-11,Lazer,Restaurante,116.89,5
2024-10-22,Transporte,Abastecimento,104.12,10
2024-11-03,Contas Fixas,Consulta médica,236.12,11
2024-12-10,Educação,Material didático,277.49,12
2024-01-03,Educação,Farmácia,34.77,1
2024-02-27,Saúde,Material didático,295.25,2
2024-09-15,Contas Fixas,Conta de luz,286.87,9
2024-01-15,Contas Fixas,Supermercado,30.65,1
2024-06-24,Lazer,Farmácia,71.3,6
2024-06-13,Lazer,Restaurante,264.91,6
2024-10-16,Saúde,Farmácia,268.97,10
2024-04-11,Contas Fixas,Internet,256.0,4
2024-08-16,Transporte,Cinema com amigos,236.21,8
2024-04-11,Saúde,Abastecimento,133.24,4
2024-04-14,Lazer,Assinatura Netflix,287.84,4
2024-03-21,Alimentação,Assinatura Netflix,119.42,3
2024-06-09,Saúde,Farmácia,147.99,6
2024-06-08,Transporte,Cinema com amigos,225.47,6
2024-11-28,Transporte,Abastecimento,244.32,11
2024-10-01,Educação,Uber para o trabalho,69.67,10
2024-06-24,Contas Fixas,Conta de luz,157.12,6
2024-08-12,Transporte,Internet,262.48,8
2024-12-15,Alimentação,Abastecimento,204.47,12
2024-09-23,Transporte,Consulta médica,56.33,9
2024-06-20,Alimentação,Curso online,226.82,6
2024-03-16,Lazer,Farmácia,126.88,3
2024-05-04,Lazer,Assinatura Netflix,46.15,5
2024-01-07,Educação,Assinatura Netflix,143.95,1
2024-12-12,Saúde,Supermercado,157.88,12
2024-10-09,Contas Fixas,Supermercado,131.52,10
2024-05-02,Alimentação,Farmácia,115.19,5
2024-04-15,Saúde,Curso online,268.54,4
2024-08-08,Educação,Curso online,122.51,8
2024-10-07,Educação,Farmácia,232.83,10
2024-09-05,Alimentação,Conta de luz,291.47,9
2024-12-25,Educação,Cinema com amigos,94.18,12
2024-03-14,Saúde,Farmácia,201.17,3
2024-06-16,Saúde,Material didático,115.99,6
2024-07-01,Contas Fixas,Farmácia,217.69,7
2024-01-19,Educação,Farmácia,224.5,1
2024-08-10,Contas Fixas,Uber para o trabalho,82.65,8
2024-10-20,Lazer,Conta de luz,113.9,10
2024-09-24,Alimentação,Curso online,292.98,9
2024-04-23,Saúde,Farmácia,35.45,4
2024-11-25,Educação,Uber para o trabalho,32.71,11
2024-06-25,Transporte,Material didático,268.8,6
2024-12-25,Transporte,Internet,124.26,12
2024-01-14,Saúde,Internet,233.5,1
2024-01-09,Lazer,Conta de luz,101.16,1
2024-05-09,Lazer,Farmácia,84.26,5
2024-12-08,Educação,Abastecimento,252.96,12
2024-05-23,Educação,Cinema com amigos,40.4,5
2024-10-09,Educação,Curso online,243.8,10
2024-07-22,Transporte,Restaurante,222.07,7
2024-08-16,Contas Fixas,Supermercado,173.29,8
2024-11-14,Alimentação,Conta de luz,250.29,11
2024-01-18,Educação,Abastecimento,36.37,1
2024-06-14,Educação,Conta de luz,45.19,6
2024-08-15,Contas Fixas,Abastecimento,51.07,8
2024-04-01,Educação,Internet,271.94,4
2024-08-28,Alimentação,Supermercado,94.81,8
2024-01-15,Contas Fixas,Assinatura Netflix,137.49,1
2024-07-04,Educação,Supermercado,158.64,7
2024-09-11,Saúde,Farmácia,38.69,9
2024-06-11,Educação,Farmácia,50.92,6
2024-02-27,Lazer,Cinema com amigos,144.67,2
2024-06-16,Educação,Assinatura Netflix,296.76,6
2024-10-28,Saúde,Material didático,151.45,10
2024-01-18,Educação,Curso online,292.08,1
2024-10-07,Alimentação,Farmácia,169.75,10
2024-09-21,Alimentação,Conta de luz,71.9,9
2024-08-24,Alimentação,Cinema com amigos,248.73,8
2024-04-03,Contas Fixas,Restaurante,226.88,4
2024-01-27,Alimentação,Material didático,90.03,1
2024-05-23,Transporte,Uber para o trabalho,295.69,5
2024-01-10,Contas Fixas,Curso online,200.04,1
2024-08-10,Transporte,Supermercado,36.25,8
2024-10-27,Contas Fixas,Cinema com amigos,98.36,10
2024-04-25,Transporte,Cinema com amigos,45.64,4
2024-10-03,Transporte,Uber para o trabalho,213.01,10
2024-05-18,Saúde,Assinatura Netflix,209.31,5
2024-11-18,Transporte,Material didático,277.73,11
2024-01-23,Lazer,Curso online,81.46,1
2024-10-03,Lazer,Cinema com amigos,219.12,10
2024-07-25,Educação,Internet,232.3,7
2024-05-15,Saúde,Conta de luz,142.89,5
2024-07-04,Contas Fixas,Consulta médica,45.86,7
2024-09-09,Alimentação,Farmácia,91.27,9
2024-07-14,Transporte,Conta de luz,208.27,7
2024-01-01,Saúde,Uber para o trabalho,118.92,1
2024-08-02,Saúde,Supermercado,73.89,8
2024-11-08,Transporte,Curso online,211.41,11
2024-09-17,Saúde,Farmácia,142.13,9
2024-10-03,Educação,Restaurante,186.71,10
2024-01-13,Contas Fixas,Uber para o trabalho,54.19,1
2024-12-02,Educação,Internet,79.5,12
2024-03-03,Lazer,Material didático,40.81,3
2024-03-14,Transporte,Material didático,92.29,3
2024-08-12,Saúde,Cinema com amigos,110.71,8
2024-01-07,Contas Fixas,Restaurante,267.85,1
2024-04-10,Educação,Farmácia,283.89,4
2024-02-20,Transporte,Material didático,275.56,2
2024-01-04,Contas Fixas,Internet,78.09,1
2024-07-08,Educação,Restaurante,130.15,7
2024-05-18,Transporte,Curso online,251.83,5
2024-11-11,Saúde,Internet,166.21,11
2024-12-14,Educação,Internet,251.51,12
2024-01-21,Transporte,Abastecimento,198.47,1
2024-02-07,Educação,Restaurante,93.78,2
2024-08-03,Educação,Cinema com amigos,201.39,8
2024-06-10,Alimentação,Assinatura Netflix,98.81,6
2024-05-27,Educação,Abastecimento,96.32,5
2024-09-20,Lazer,Farmácia,287.42,9
2024-03-03,Educação,Conta de luz,57.94,3
2024-03-08,Educação,Curso online,71.59,3
2024-03-03,Lazer,Conta de luz,107.31,3
2024-12-04,Transporte,Assinatura Netflix,34.5,12
2024-10-04,Saúde,Curso online,271.23,10
2024-06-24,Transporte,Material didático,292.99,6
2024-05-01,Lazer,Conta de luz,239.8,5
2024-03-20,Alimentação,Supermercado,110.6,3
2024-11-20,Lazer,Internet,227.72,11
2024-01-21,Lazer,Supermercado,250.49,1
2024-12-04,Lazer,Curso online,51.28,12
2024-03-09,Alimentação,Curso online,184.85,3
2024-07-14,Alimentação,Supermercado,138.84,7
2024-06-04,Contas Fixas,Uber para o trabalho,122.45,6
2024-04-15,Contas Fixas,Curso online,253.3,4
2024-09-18,Alimentação,Supermercado,226.77,9
2024-07-28,Saúde,Abastecimento,259.61,7
2024-11-18,Alimentação,Consulta médica,169.36,11
2024-11-06,Contas Fixas,Cinema com amigos,103.07,11
2024-04-12,Lazer,Material didático,127.0,4
2024-02-14,Lazer,Restaurante,82.37,2
2024-11-06,Educação,Farmácia,121.4,11
2024-04-19,Saúde,Material didático,198.6,4
2024-02-06,Educação,Internet,273.04,2
2024-01-27,Alimentação,Conta de luz,274.98,1
2024-11-07,Contas Fixas,Conta de luz,133.9,11
2024-11-18,Educação,Supermercado,90.79,11
2024-06-13,Lazer,Assinatura Netflix,179.97,6
2024-06-04,Alimentação,Internet,265.71,6
2024-11-22,Saúde,Material didático,98.35,11
2024-10-09,Saúde,Cinema com amigos,105.49,10
2024-10-21,Contas Fixas,Assinatura Netflix,145.71,10
2024-10-02,Contas Fixas,Uber para o trabalho,199.67,10
2024-09-21,Lazer,Cinema com amigos,159.91,9
2024-11-15,Educação,Assinatura Netflix,67.51,11
2024-12-09,Alimentação,Material didático,122.13,12
